VersaoDataset,Algoritmo,MediaAcuracias,DesvioPadraoAcuracias
V1,LR-orig,0.856,0.005
V1,KNN-orig,0.844,0.005
V1,CART-orig,0.799,0.004
V1,NB-orig,0.734,0.009
V1,SVM-orig,0.788,0.001
V1,Bag-orig,0.865,0.005
V1,RF-orig,0.859,0.005
V1,ET-orig,0.851,0.005
V1,Ada-orig,0.857,0.005
V1,GB-orig,0.861,0.006
V1,LR-padr,0.859,0.003
V1,KNN-padr,0.812,0.005
V1,CART-padr,0.799,0.003
V1,NB-padr,0.734,0.009
V1,SVM-padr,0.866,0.006
V1,Bag-padr,0.864,0.005
V1,RF-padr,0.858,0.006
V1,ET-padr,0.851,0.004
V1,Ada-padr,0.857,0.005
V1,GB-padr,0.861,0.006
V1,LR-norm,0.859,0.004
V1,KNN-norm,0.809,0.006
V1,CART-norm,0.799,0.005
V1,NB-norm,0.734,0.009
V1,SVM-norm,0.863,0.005
V1,Bag-norm,0.864,0.006
V1,RF-norm,0.858,0.004
V1,ET-norm,0.851,0.003
V1,Ada-norm,0.857,0.005
V1,GB-norm,0.861,0.005
V2,LR-orig,0.840,0.005
V2,KNN-orig,0.831,0.004
V2,CART-orig,0.791,0.004
V2,NB-orig,0.793,0.005
V2,SVM-orig,0.838,0.002
V2,Bag-orig,0.850,0.004
V2,RF-orig,0.852,0.005
V2,ET-orig,0.854,0.005
V2,Ada-orig,0.849,0.005
V2,GB-orig,0.851,0.004
V2,LR-padr,0.848,0.005
V2,KNN-padr,0.837,0.005
V2,CART-padr,0.791,0.004
V2,NB-padr,0.793,0.005
V2,SVM-padr,0.850,0.004
V2,Bag-padr,0.850,0.005
V2,RF-padr,0.853,0.004
V2,ET-padr,0.854,0.004
V2,Ada-padr,0.849,0.005
V2,GB-padr,0.851,0.004
V2,LR-norm,0.847,0.005
V2,KNN-norm,0.834,0.003
V2,CART-norm,0.792,0.005
V2,NB-norm,0.793,0.005
V2,SVM-norm,0.849,0.004
V2,Bag-norm,0.850,0.004
V2,RF-norm,0.853,0.004
V2,ET-norm,0.854,0.004
V2,Ada-norm,0.849,0.005
V2,GB-norm,0.851,0.004
V3,LR-orig,0.841,0.003
V3,KNN-orig,0.835,0.003
V3,CART-orig,0.787,0.004
V3,NB-orig,0.647,0.003
V3,SVM-orig,0.812,0.002
V3,Bag-orig,0.856,0.004
V3,RF-orig,0.850,0.003
V3,ET-orig,0.842,0.002
V3,Ada-orig,0.846,0.003
V3,GB-orig,0.849,0.004
V3,LR-padr,0.847,0.003
V3,KNN-padr,0.807,0.003
V3,CART-padr,0.788,0.003
V3,NB-padr,0.647,0.003
V3,SVM-padr,0.859,0.003
V3,Bag-padr,0.855,0.003
V3,RF-padr,0.850,0.002
V3,ET-padr,0.843,0.002
V3,Ada-padr,0.846,0.003
V3,GB-padr,0.849,0.004
V3,LR-norm,0.847,0.003
V3,KNN-norm,0.800,0.004
V3,CART-norm,0.788,0.003
